control_key,status,observed,source,line,tag,id,text,onclick,panel
#agentHealthDismiss,NOT_INTERACTED,False,static/index.html,512,BUTTON,agentHealthDismiss,,dismissAgentHealthAlert(),
#anthropicOAuthBtn,NOT_INTERACTED,False,static/onboarding.js,230,BUTTON,anthropicOAuthBtn,,startAnthropicOAuth(),
#appDialogCancel,INTERACTED_IN_PASSING_TEST,False,static/index.html,1941,BUTTON,appDialogCancel,,,
#appDialogClose,NOT_INTERACTED,False,static/index.html,1934,BUTTON,appDialogClose,,,
#appDialogConfirm,INTERACTED_IN_PASSING_TEST,False,static/index.html,1942,BUTTON,appDialogConfirm,,,
#appDialogInput,INTERACTED_IN_PASSING_TEST,False,static/index.html,1939,INPUT,appDialogInput,,,
#approvalBtnAlways,NOT_INTERACTED,False,static/index.html,542,BUTTON,approvalBtnAlways,,respondApproval('always'),
#approvalBtnDeny,INTERACTED_IN_PASSING_TEST,True,static/index.html,546,BUTTON,approvalBtnDeny,,respondApproval('deny'),
#approvalBtnOnce,INTERACTED_IN_PASSING_TEST,True,static/index.html,533,BUTTON,approvalBtnOnce,,respondApproval('once'),
#approvalBtnSession,NOT_INTERACTED,False,static/index.html,538,BUTTON,approvalBtnSession,,respondApproval('session'),
#approvalCollapse,NOT_INTERACTED,True,static/index.html,526,BUTTON,approvalCollapse,,toggleApprovalCardCollapsed(),
#approvalSkipAll,NOT_INTERACTED,False,static/index.html,550,BUTTON,approvalSkipAll,,toggleYoloFromApproval(),
#aux-model-approval,INTERACTED_IN_PASSING_TEST,True,browser,,SELECT,aux-model-approval,auto (use provider default),,
#aux-model-compression,INTERACTED_IN_PASSING_TEST,True,browser,,SELECT,aux-model-compression,auto (use provider default),,
#aux-model-curator,INTERACTED_IN_PASSING_TEST,True,browser,,SELECT,aux-model-curator,auto (use provider default),,
#aux-model-kanban_decomposer,INTERACTED_IN_PASSING_TEST,True,browser,,SELECT,aux-model-kanban_decomposer,auto (use provider default),,
#aux-model-mcp,INTERACTED_IN_PASSING_TEST,True,browser,,SELECT,aux-model-mcp,auto (use provider default),,
#aux-model-profile_describer,INTERACTED_IN_PASSING_TEST,True,browser,,SELECT,aux-model-profile_describer,auto (use provider default),,
#aux-model-session_search,INTERACTED_IN_PASSING_TEST,True,browser,,SELECT,aux-model-session_search,auto (use provider default),,
#aux-model-skills_hub,INTERACTED_IN_PASSING_TEST,True,browser,,SELECT,aux-model-skills_hub,auto (use provider default),,
#aux-model-title_generation,INTERACTED_IN_PASSING_TEST,True,browser,,SELECT,aux-model-title_generation,auto (use provider default),,
#aux-model-triage_specifier,INTERACTED_IN_PASSING_TEST,True,browser,,SELECT,aux-model-triage_specifier,auto (use provider default),,
#aux-model-vision,INTERACTED_IN_PASSING_TEST,True,browser,,SELECT,aux-model-vision,auto (use provider default),,
#aux-model-web_extract,INTERACTED_IN_PASSING_TEST,True,browser,,SELECT,aux-model-web_extract,auto (use provider default),,
#aux-prov-approval,INTERACTED_IN_PASSING_TEST,True,browser,,SELECT,aux-prov-approval,auto (use main model)qaOpenAI APIOpenCode Free,,
#aux-prov-compression,INTERACTED_IN_PASSING_TEST,True,browser,,SELECT,aux-prov-compression,auto (use main model)qaOpenAI APIOpenCode Free,,
#aux-prov-curator,INTERACTED_IN_PASSING_TEST,True,browser,,SELECT,aux-prov-curator,auto (use main model)qaOpenAI APIOpenCode Free,,
#aux-prov-kanban_decomposer,INTERACTED_IN_PASSING_TEST,True,browser,,SELECT,aux-prov-kanban_decomposer,auto (use main model)qaOpenAI APIOpenCode Free,,
#aux-prov-mcp,INTERACTED_IN_PASSING_TEST,True,browser,,SELECT,aux-prov-mcp,auto (use main model)qaOpenAI APIOpenCode Free,,
#aux-prov-profile_describer,INTERACTED_IN_PASSING_TEST,True,browser,,SELECT,aux-prov-profile_describer,auto (use main model)qaOpenAI APIOpenCode Free,,
#aux-prov-session_search,INTERACTED_IN_PASSING_TEST,True,browser,,SELECT,aux-prov-session_search,auto (use main model)qaOpenAI APIOpenCode Free,,
#aux-prov-skills_hub,INTERACTED_IN_PASSING_TEST,True,browser,,SELECT,aux-prov-skills_hub,auto (use main model)qaOpenAI APIOpenCode Free,,
#aux-prov-title_generation,INTERACTED_IN_PASSING_TEST,True,browser,,SELECT,aux-prov-title_generation,auto (use main model)qaOpenAI APIOpenCode Free,,
#aux-prov-triage_specifier,INTERACTED_IN_PASSING_TEST,True,browser,,SELECT,aux-prov-triage_specifier,auto (use main model)qaOpenAI APIOpenCode Free,,
#aux-prov-vision,INTERACTED_IN_PASSING_TEST,True,browser,,SELECT,aux-prov-vision,auto (use main model)qaOpenAI APIOpenCode Free,,
#aux-prov-web_extract,INTERACTED_IN_PASSING_TEST,True,browser,,SELECT,aux-prov-web_extract,auto (use main model)qaOpenAI APIOpenCode Free,,
#auxAdvancedApiKey,INTERACTED_IN_PASSING_TEST,True,browser action,,,,,,
#auxAdvancedApiKeyClear,INTERACTED_IN_PASSING_TEST,False,static/panels.js,12567,INPUT,auxAdvancedApiKeyClear,,,
#auxAdvancedBaseUrl,INTERACTED_IN_PASSING_TEST,True,browser action,,,,,,
#auxAdvancedCancel,INTERACTED_IN_PASSING_TEST,False,static/panels.js,12510,BUTTON,auxAdvancedCancel,,,
#auxAdvancedClose,INTERACTED_IN_PASSING_TEST,False,static/panels.js,12506,BUTTON,auxAdvancedClose,,,
#auxAdvancedDownloadTimeout,INTERACTED_IN_PASSING_TEST,True,browser action,,,,,,
#auxAdvancedExtraBody,INTERACTED_IN_PASSING_TEST,False,static/panels.js,12565,TEXTAREA,auxAdvancedExtraBody,,,
#auxAdvancedMaxConcurrency,INTERACTED_IN_PASSING_TEST,True,browser action,,,,,,
#auxAdvancedSave,INTERACTED_IN_PASSING_TEST,False,static/panels.js,12511,BUTTON,auxAdvancedSave,,,
#auxAdvancedServiceTier,NOT_INTERACTED,False,static/panels.js,12555,SELECT,auxAdvancedServiceTier,,,
#auxAdvancedTimeout,INTERACTED_IN_PASSING_TEST,True,browser action,,,,,,
#botAvatarFile,NOT_INTERACTED,True,static/panels.js,6980,INPUT,botAvatarFile,,,
#botColor,NOT_INTERACTED,True,static/panels.js,6979,INPUT,botColor,,,
#botDescription,NOT_INTERACTED,True,static/panels.js,6977,TEXTAREA,botDescription,,,
#botShape,NOT_INTERACTED,True,static/panels.js,6978,SELECT,botShape,,,
#botTitle,NOT_INTERACTED,True,static/panels.js,6976,INPUT,botTitle,,,
#btnAccessRequestsRefresh,NOT_INTERACTED,True,static/index.html,1699,BUTTON,btnAccessRequestsRefresh,,loadMyAccessRequests(true),
#btnActivateProfileDetail,NOT_INTERACTED,True,static/index.html,958,BUTTON,btnActivateProfileDetail,,activateCurrentProfile(),
